Output format is aligned.
Border style is 2.
Null display is "(null)".
== Per-year regular-season game count ==
+------+---------------+
|  yr  | regular_games |
| 1935 | allstar        |         3 |
| 1935 | exhibition     |        26 |
| 1935 | lcs            |         7 |
| 1935 | regular        |      1228 |
| 1935 | worldseries    |         6 |
| 1936 | allstar        |         2 |
| 1936 | championship   |         8 |
| 1936 | exhibition     |         8 |
| 1936 | regular        |      1238 |
| 1936 | worldseries    |         6 |
| 1937 | allstar        |        11 |
| 1937 | exhibition     |        45 |
| 1937 | lcs            |         2 |
| 1937 | regular        |      1392 |
| 1937 | worldseries    |         5 |
| 1938 | allstar        |         6 |
| 1938 | championship   |         1 |
| 1938 | exhibition     |        86 |
| 1938 | exibition      |         4 |
| 1938 | lcs            |         2 |
| 1938 | regular        |      1399 |
| 1938 | worldseries    |         4 |
| 1938 | (null)         |         3 |
| 1939 | allstar        |         4 |
| 1939 | divisionseries |         9 |
| 1939 | exhibition     |       131 |
| 1939 | lcs            |        10 |
| 1939 | regular        |      1507 |
| 1939 | worldseries    |         4 |
| 1940 | allstar        |         5 |
| 1940 | exhibition     |       109 |
| 1940 | regular        |      1522 |
| 1940 | worldseries    |         7 |
| 1941 | allstar        |         2 |
| 1941 | championship   |         3 |
| 1941 | exhibition     |       135 |
| 1941 | regular        |      1510 |
| 1941 | worldseries    |         5 |
| 1942 | allstar        |         3 |
| 1942 | championship   |         5 |
| 1942 | exhibition     |       223 |
| 1942 | regular        |      1475 |
| 1942 | worldseries    |         5 |
| 1943 | allstar        |         4 |
| 1943 | championship   |        11 |
| 1943 | exhibition     |       198 |
| 1943 | regular        |      1564 |
| 1943 | worldseries    |         5 |
| 1944 | allstar        |         3 |
| 1944 | championship   |         5 |
| 1944 | exhibition     |       196 |
| 1944 | regular        |      1631 |
| 1944 | worldseries    |         6 |
| 1945 | allstar        |         2 |
| 1945 | championship   |         4 |
| 1945 | exhibition     |       202 |
| 1945 | regular        |      1579 |
| 1945 | worldseries    |         7 |
| 1946 | allstar        |        11 |
| 1946 | championship   |         7 |
| 1946 | exhibition     |       171 |
| 1946 | playoff        |         2 |
| 1946 | regular        |      1647 |
| 1946 | worldseries    |         7 |
| 1947 | allstar        |         3 |
| 1947 | championship   |         1 |
| 1947 | exhibition     |       150 |
| 1947 | regular        |      1683 |
| 1947 | worldseries    |         7 |
| 1948 | allstar        |         3 |
| 1948 | championship   |         6 |
| 1948 | exhibition     |       107 |
| 1948 | lcs            |        11 |
| 1948 | playoff        |         1 |
| 1948 | regular        |      1660 |
| 1948 | worldseries    |         6 |
| 1949 | allstar        |         2 |
| 1949 | exhibition     |        87 |
| 1949 | lcs            |         4 |
| 1949 | regular        |      1610 |
| 1949 | worldseries    |         5 |
| 1950 | allstar        |         2 |
| 1950 | regular        |      1238 |
| 1950 | worldseries    |         4 |
| 1951 | allstar        |         2 |
| 1951 | playoff        |         3 |
| 1951 | regular        |      1236 |
| 1951 | worldseries    |         6 |
| 1952 | allstar        |         2 |
| 1952 | regular        |      1239 |
| 1952 | worldseries    |         7 |
| 1953 | allstar        |         2 |
| 1953 | regular        |      1240 |
| 1953 | worldseries    |         6 |
| 1954 | allstar        |         2 |
| 1954 | regular        |      1236 |
| 1954 | worldseries    |         4 |
| 1955 | allstar        |         2 |
| 1955 | regular        |      1234 |
| 1955 | worldseries    |         7 |
| 1956 | allstar        |         2 |
| 1956 | regular        |      1239 |
| 1956 | worldseries    |         7 |
| 1957 | allstar        |         2 |
| 1957 | regular        |      1235 |
| 1957 | worldseries    |         7 |
| 1958 | allstar        |         3 |
| 1958 | regular        |      1235 |
| 1958 | worldseries    |         7 |
| 1959 | allstar        |         3 |
| 1959 | playoff        |         2 |
| 1959 | regular        |      1236 |
| 1959 | worldseries    |         6 |
| 1960 | allstar        |         3 |
| 1960 | regular        |      1236 |
| 1960 | worldseries    |         7 |
| 1961 | allstar        |         3 |
| 1961 | regular        |      1430 |
| 1961 | worldseries    |         5 |
| 1962 | allstar        |         3 |
| 1962 | playoff        |         3 |
| 1962 | regular        |      1618 |
| 1962 | worldseries    |         7 |
| 1963 | allstar        |         1 |
| 1963 | regular        |      1619 |
| 1963 | worldseries    |         4 |
| 1964 | allstar        |         1 |
| 1964 | regular        |      1626 |
| 1964 | worldseries    |         7 |
| 1965 | allstar        |         1 |
| 1965 | regular        |      1623 |
| 1965 | worldseries    |         7 |
| 1966 | allstar        |         1 |
| 1966 | regular        |      1615 |
| 1966 | worldseries    |         4 |
| 1967 | allstar        |         1 |
| 1967 | regular        |      1620 |
| 1967 | worldseries    |         7 |
| 1968 | allstar        |         1 |
| 1968 | regular        |      1625 |
| 1968 | worldseries    |         7 |
| 1969 | allstar        |         1 |
| 1969 | lcs            |         6 |
| 1969 | regular        |      1946 |
| 1969 | worldseries    |         5 |
| 1970 | allstar        |         1 |
| 1970 | lcs            |         6 |
| 1970 | regular        |      1944 |
| 1970 | worldseries    |         5 |
| 1971 | allstar        |         1 |
| 1971 | lcs            |         7 |
| 1971 | regular        |      1938 |
| 1971 | worldseries    |         7 |
| 1972 | allstar        |         1 |
| 1972 | lcs            |        10 |
| 1972 | regular        |      1859 |
| 1972 | worldseries    |         7 |
| 1973 | allstar        |         1 |
| 1973 | lcs            |        10 |
| 1973 | regular        |      1943 |
| 1973 | worldseries    |         7 |
| 1974 | allstar        |         1 |
| 1974 | lcs            |         8 |
| 1974 | regular        |      1945 |
| 1974 | worldseries    |         5 |
| 1975 | allstar        |         1 |
| 1975 | lcs            |         6 |
| 1975 | regular        |      1934 |
| 1975 | worldseries    |         7 |
| 1976 | allstar        |         1 |
| 1976 | lcs            |         8 |
| 1976 | regular        |      1939 |
| 1976 | worldseries    |         4 |
| 1977 | allstar        |         1 |
| 1977 | lcs            |         9 |
| 1977 | regular        |      2103 |
| 1977 | worldseries    |         6 |
| 1978 | allstar        |         1 |
| 1978 | lcs            |         8 |
| 1978 | playoff        |         1 |
| 1978 | regular        |      2101 |
| 1978 | worldseries    |         6 |
| 1979 | allstar        |         1 |
| 1979 | lcs            |         7 |
| 1979 | regular        |      2098 |
| 1979 | worldseries    |         7 |
| 1980 | allstar        |         1 |
| 1980 | lcs            |         8 |
| 1980 | playoff        |         1 |
| 1980 | regular        |      2104 |
| 1980 | worldseries    |         6 |
| 1981 | allstar        |         1 |
| 1981 | divisionseries |        18 |
| 1981 | lcs            |         8 |
| 1981 | regular        |      1394 |
| 1981 | worldseries    |         6 |
| 1982 | allstar        |         1 |
| 1982 | lcs            |         8 |
| 1982 | regular        |      2107 |
| 1982 | worldseries    |         7 |
| 1983 | allstar        |         1 |
| 1983 | lcs            |         8 |
| 1983 | regular        |      2109 |
| 1983 | worldseries    |         5 |
| 1984 | allstar        |         1 |
| 1984 | lcs            |         8 |
| 1984 | regular        |      2105 |
| 1984 | worldseries    |         5 |
| 1985 | allstar        |         1 |
| 1985 | lcs            |        13 |
| 1985 | regular        |      2103 |
| 1985 | worldseries    |         7 |
| 1986 | allstar        |         1 |
| 1986 | lcs            |        13 |
| 1986 | regular        |      2103 |
| 1986 | worldseries    |         7 |
| 1987 | allstar        |         1 |
| 1987 | lcs            |        12 |
| 1987 | regular        |      2105 |
| 1987 | worldseries    |         7 |
| 1988 | allstar        |         1 |
| 1988 | lcs            |        11 |
| 1988 | regular        |      2100 |
| 1988 | worldseries    |         5 |
| 1989 | allstar        |         1 |
| 1989 | lcs            |        10 |
| 1989 | regular        |      2106 |
| 1989 | worldseries    |         4 |
| 1990 | allstar        |         1 |
| 1990 | lcs            |        10 |
| 1990 | regular        |      2105 |
| 1990 | worldseries    |         4 |
| 1991 | allstar        |         1 |
| 1991 | lcs            |        12 |
| 1991 | regular        |      2104 |
| 1991 | worldseries    |         7 |
| 1992 | allstar        |         1 |
| 1992 | lcs            |        13 |
| 1992 | regular        |      2106 |
| 1992 | worldseries    |         6 |
| 1993 | allstar        |         1 |
| 1993 | lcs            |        12 |
| 1993 | regular        |      2269 |
| 1993 | worldseries    |         6 |
| 1994 | allstar        |         1 |
| 1994 | regular        |      1600 |
| 1995 | allstar        |         1 |
| 1995 | divisionseries |        15 |
| 1995 | lcs            |        10 |
| 1995 | playoff        |         1 |
| 1995 | regular        |      2016 |
| 1995 | worldseries    |         6 |
| 1996 | allstar        |         1 |
| 1996 | divisionseries |        14 |
| 1996 | lcs            |        12 |
| 1996 | regular        |      2267 |
| 1996 | worldseries    |         6 |
| 1997 | allstar        |         1 |
| 1997 | divisionseries |        15 |
| 1997 | lcs            |        12 |
| 1997 | regular        |      2266 |
| 1997 | worldseries    |         7 |
| 1998 | allstar        |         1 |
| 1998 | divisionseries |        14 |
| 1998 | lcs            |        12 |
| 1998 | playoff        |         1 |
| 1998 | regular        |      2431 |
| 1998 | worldseries    |         4 |
| 1999 | allstar        |         1 |
| 1999 | divisionseries |        16 |
| 1999 | lcs            |        11 |
| 1999 | playoff        |         1 |
| 1999 | regular        |      2427 |
| 1999 | worldseries    |         4 |
| 2000 | allstar        |         1 |
| 2000 | divisionseries |        15 |
| 2000 | lcs            |        11 |
| 2000 | regular        |      2429 |
| 2000 | worldseries    |         5 |
| 2001 | allstar        |         1 |
| 2001 | divisionseries |        18 |
| 2001 | lcs            |        10 |
| 2001 | regular        |      2429 |
| 2001 | worldseries    |         7 |
| 2002 | allstar        |         1 |
| 2002 | divisionseries |        17 |
| 2002 | lcs            |        10 |
| 2002 | regular        |      2426 |
| 2002 | worldseries    |         7 |
| 2003 | allstar        |         1 |
| 2003 | divisionseries |        18 |
| 2003 | lcs            |        14 |
| 2003 | regular        |      2430 |
| 2003 | worldseries    |         6 |
| 2004 | allstar        |         1 |
| 2004 | divisionseries |        16 |
| 2004 | lcs            |        14 |
| 2004 | regular        |      2428 |
| 2004 | worldseries    |         4 |
| 2005 | allstar        |         1 |
| 2005 | divisionseries |        15 |
| 2005 | lcs            |        11 |
| 2005 | regular        |      2431 |
| 2005 | worldseries    |         4 |
| 2006 | allstar        |         1 |
| 2006 | divisionseries |        14 |
| 2006 | lcs            |        11 |
| 2006 | regular        |      2429 |
| 2006 | worldseries    |         5 |
| 2007 | allstar        |         1 |
| 2007 | divisionseries |        13 |
| 2007 | lcs            |        11 |
| 2007 | playoff        |         1 |
| 2007 | regular        |      2430 |
| 2007 | worldseries    |         4 |
| 2008 | allstar        |         1 |
