Output format is aligned.
Border style is 2.
Null display is "(null)".
== Global stattype distribution (all years, all 4 tables combined) ==
+----------+----------+---------+
| stattype |    n     |   pct   |
+----------+----------+---------+
| value    | 11865906 | 98.9303 |
| official |   122284 |  1.0195 |
| lower    |     4925 |  0.0411 |
| upper    |     1099 |  0.0092 |
+----------+----------+---------+
(4 rows)


== Per-table stattype distribution ==
+-----------+----------+---------+---------+
|    tbl    | stattype |    n    |   pct   |
| 1964 |         201 |   38623 |        0.5204 |
| 1965 |         207 |   39326 |        0.5264 |
| 1966 |         167 |   38851 |        0.4298 |
| 1967 |         178 |   38972 |        0.4567 |
| 1968 |         185 |   38276 |        0.4833 |
| 1969 |         264 |   46651 |        0.5659 |
| 1970 |         186 |   47105 |        0.3949 |
| 1971 |         162 |   46028 |        0.3520 |
| 1972 |         130 |   43898 |        0.2961 |
| 1973 |         222 |   45783 |        0.4849 |
| 1974 |          80 |   46336 |        0.1727 |
| 1975 |         126 |   45674 |        0.2759 |
| 1976 |          52 |   45475 |        0.1143 |
| 1977 |          86 |   50516 |        0.1702 |
| 1978 |          65 |   50068 |        0.1298 |
| 1979 |          86 |   50074 |        0.1717 |
| 1980 |          61 |   50852 |        0.1200 |
| 1981 |          18 |   34373 |        0.0524 |
+------+-------------+---------+---------------+
(70 rows)


== Per-year non-value rate (teamstats) ==
+------+-------------+---------+---------------+
|  yr  | non_value_n | total_n | non_value_pct |
+------+-------------+---------+---------------+
| 1907 |         610 |    3086 |       19.7667 |
| 1908 |         622 |    3120 |       19.9359 |
| 1909 |         716 |    3212 |       22.2914 |
| 1910 |         675 |    3173 |       21.2732 |
| 1911 |         765 |    3251 |       23.5312 |
| 1912 |         871 |    3353 |       25.9767 |
| 1913 |        1169 |    3677 |       31.7922 |
| 1914 |        1761 |    5527 |       31.8618 |
| 1915 |        1336 |    5076 |       26.3199 |
| 1916 |         812 |    3320 |       24.4578 |
| 1917 |         864 |    3370 |       25.6380 |
| 1918 |         844 |    2888 |       29.2244 |
| 1919 |        1200 |    3452 |       34.7625 |
| 1920 |        1577 |    4073 |       38.7184 |
| 1921 |        1217 |    3761 |       32.3584 |
| 1922 |        1188 |    3682 |       32.2651 |
| 1923 |        1218 |    3698 |       32.9367 |
| 1924 |        1178 |    3686 |       31.9588 |
| 1925 |         955 |    3499 |       27.2935 |
| 1926 |         888 |    3464 |       25.6351 |
| 1927 |         760 |    3310 |       22.9607 |
| 1928 |        1069 |    3589 |       29.7855 |
| 1929 |        1036 |    3560 |       29.1011 |
| 1930 |         783 |    3373 |       23.2138 |
| 1931 |         738 |    3264 |       22.6103 |
| 1932 |         638 |    3152 |       20.2411 |
| 1933 |         844 |    3358 |       25.1340 |
| 1934 |         634 |    3156 |       20.0887 |
| 1935 |         661 |    3201 |       20.6498 |
| 1936 |         668 |    3192 |       20.9273 |
| 1937 |         655 |    3565 |       18.3731 |
| 1938 |         638 |    3648 |       17.4890 |
| 1939 |         575 |    3905 |       14.7247 |
| 1940 |         543 |    3829 |       14.1812 |
| 1941 |         561 |    3871 |       14.4924 |
| 1942 |         647 |    4069 |       15.9007 |
| 1943 |         701 |    4265 |       16.4361 |
| 1944 |         707 |    4389 |       16.1085 |
| 1945 |         644 |    4232 |       15.2174 |
| 1946 |         682 |    4372 |       15.5993 |
| 1947 |         765 |    4453 |       17.1794 |
| 1948 |         781 |    4369 |       17.8759 |
| 1949 |         769 |    4185 |       18.3751 |
